material_id,formula,density,elements,band_gap,total_dielectric,ionic_dielectric,electronic_dielectric,crystal_system,crystal_code
mp-570778,Cl2,0.917135112372348,Cl,2.6476,"((2.790526029999999, 0.0, -6.617444900424222e-24), (0.0, 1.4497101350000001, 0.0), (-6.617444900424222e-24, 0.0, 1.4497101350000001))","((1.109681999999999, 0.0, -6.617444900424222e-24), (0.0, 0.015028165000000001, 0.0), (-6.617444900424222e-24, 0.0, 0.015028165000000001))","((1.680844029999999, 0.0, 0.0), (0.0, 1.43468197, 0.0), (0.0, 0.0, 1.43468197))",Tetragonal,2
mp-632291,H2,0.142084497143387,H,8.8499,"((1.466440365, -4.675923715022977e-17, 1.88136135676558e-17), (-4.675923715022977e-17, 1.466440365, 8.257746311503191e-17), (1.88136135676558e-17, 8.257746311503191e-17, 1.66038636))","((4.999999999999999e-09, -9.004215115605721e-26, 6.876896098196382e-26), (-9.004215115605721e-26, 4.999999999999999e-09, 2.075468390601084e-25), (6.876896098196382e-26, 2.075468390601084e-25, 2.111655174599969e-41))","((1.46644036, -4.675923706018762e-17, 1.8813613498886842e-17), (-4.675923706018762e-17, 1.46644036, 8.257746290748504e-17), (1.8813613498886842e-17, 8.257746290748504e-17, 1.66038636))",Tetragonal,2
mp-850274,H2,0.09686760211786001,H,8.5338,"((1.6990912000000011, -9.371786513031673e-17, 1.023012803166059e-16), (-9.371786513031673e-17, 1.4790461949999991, 6.495677599975201e-17), (1.023012803166059e-16, 6.495677599975201e-17, 1.4790461949999991))","((1.212749838825055e-41, 1.6623198198900273e-26, 8.601213723797255e-26), (1.6623198198900273e-26, 5e-09, 2.64065619432341e-25), (8.601213723797255e-26, 2.64065619432341e-25, 4.999999999999999e-09))","((1.6990912000000011, -9.371786514693991e-17, 1.023012802305939e-16), (-9.371786514693991e-17, 1.4790461899999992, 6.495677573568639e-17), (1.023012802305939e-16, 6.495677573568639e-17, 1.4790461899999992))",Tetragonal,2
mp-542605,Se,3.972611296022905,Se,1.390199999999999,"((5.89618063126601, 0.0, -0.677247725516637), (0.0, 6.080975459999999, 0.0), (-0.677247545516636, 0.0, 4.016990698733991))","((0.38649905803120604, 0.0, -0.098589880424942), (0.0, 0.39759458000000003, 0.0), (-0.098589880424942, 0.0, 0.15094825196879302))","((5.509681573234803, 0.0, -0.578657845091695), (0.0, 5.68338088, 0.0), (-0.578657665091694, 0.0, 3.866042446765198))",Monoclinic,6
mp-19,Te,5.875199295688813,Te,0.18560000000000001,"((130.8641392254029, -1.7675143332877962e-05, -1.4456028966473391e-18), (-1.7675143334061043e-05, 130.86421604518023, -2.385244779468109e-18), (-1.1564823173178711e-18, -1.8792837656415413e-18, 231.08908122))","((43.830052625718814, -5.919898813410915e-06, -1.1564823173178711e-18), (-5.919898813410915e-06, 43.83007835480627, -2.3129646346357423e-18), (-1.1564823173178711e-18, -2.3129646346357423e-18, 49.916025209999994))","((87.0340865996841, -1.1755244519467042e-05, -2.8912057932946783e-19), (-1.1755244520650122e-05, 87.03413769037395, -7.228014483236696e-20), (0.0, 4.336808689942018e-19, 181.17305601))",Trigonal,5
mp-14,Se,4.495590643284683,Se,0.8765000000000001,"((8.640562756817513, -4.128575304086371e-17, 0.0), (-4.128575304086371e-17, 8.640561134040263, 0.0), (0.0, 0.0, 14.6233367))","((0.627972864398431, -3.035766082959412e-18, 0.0), (-3.035766082959412e-18, 0.6279727464593441, 0.0), (0.0, 0.0, 1.35905196))","((8.012589892419081, -3.82499869579043e-17, 0.0), (-3.82499869579043e-17, 8.012588387580918, 0.0), (0.0, 0.0, 13.264284739999999))",Trigonal,5
mp-567313,Te,5.848401461270641,Te,0.5606,"((59.48537127764071, -1.0004758006054711e-05, 5.041654889331988e-21), (-1.0004758006054711e-05, 59.485359725136775, -3.0261530159809944e-22), (5.041654889331988e-21, -3.0261530159809944e-22, 75.44504651000003))","((17.11870772367926, -2.8791705330988293e-06, 5.041654889331988e-21), (-2.8791705330988293e-06, 17.118704399098206, -3.0261530159809944e-22), (5.041654889331988e-21, -3.0261530159809944e-22, 15.300599530000005))","((42.366663553961445, -7.1255874729558855e-06, 0.0), (-7.1255874729558855e-06, 42.36665532603857, 0.0), (0.0, 0.0, 60.14444698000002))",Trigonal,5
mp-555760,S,2.054793093048255,S,2.2718,"((2.914904881475303, 4.074616294282712e-08, -2.6343083411880896e-22), (4.074616294282712e-08, 2.9149049285249173, -1.739312692758264e-22), (-2.6343083411880896e-22, -1.739312692758264e-22, 7.091374670000005))","((0.017370529859920002, 2.428149339581131e-10, -2.6343083411880896e-22), (2.428149339581131e-10, 0.017370530140299, -1.739312692758264e-22), (-2.6343083411880896e-22, -1.739312692758264e-22, 0.033286880000000005))","((2.897534351615382, 4.050334800886901e-08, 0.0), (4.050334800886901e-08, 2.897534398384618, 0.0), (0.0, 0.0, 7.058087790000004))",Trigonal,5
mp-990424,C,0.632674547562438,C,0.012399999999999,"((4.00780233, 0.0, 0.0), (0.0, 14.580892422796959, 0.123545722664104), (0.0, 0.12356435266410401, 1.205518087203042))","((0.00033672, 0.0, 0.0), (0.0, 0.00048288706300400006, 4.1525378421687665e-06), (0.0, 4.1525378421687665e-06, 5.132936995890382e-06))","((4.00746561, 0.0, 0.0), (0.0, 14.580409535733954, 0.123541570126261), (0.0, 0.12356020012626101, 1.205512954266046))",Trigonal,5
mp-160,B,2.483309878652122,B,1.433399999999999,"((10.442550729103203, 1.598834745135818e-06, 6.051352384979249e-07), (1.598834745107771e-06, 10.442551188728833, 1.688120797080361e-06), (6.051352385843824e-07, 1.68812079665015e-06, 7.675127572167975))","((0.187438088629579, 2.8698211451650773e-08, 3.264874277503545e-09), (2.8698211432310093e-08, 0.18743809687960902, 3.030084731736604e-08), (3.2648742751356856e-09, 3.030084733124383e-08, 0.041409424490810004))","((10.255112640473623, 1.570136533684167e-06, 6.018703642204211e-07), (1.57013653367546e-06, 10.255113091849223, 1.657819949762995e-06), (6.018703643092465e-07, 1.657819949318906e-06, 7.633718147677165))",Trigonal,5
