material_id,formula,density,elements,band_gap,crystal_system,crystal_code,pages,refractive_index
mp-1094120,Nb,8.161255619756384,Nb,0.0,Triclinic,7,"['Golovashkin-293K', 'Golovashkin-4.2K', 'Golovashkin-78K', 'Weaver', 'Windt']",2.13
mp-1179802,Rb,1.525035869723976,Rb,0.0,Triclinic,7,"['Ives', 'Monin', 'Smith', 'Whang', 'Yamaguchi']",0.16703082502266547
mp-1120447,Si,2.288019789495501,Si,0.0,Triclinic,7,"['Aspnes', 'Chandler-Horowitz', 'Daub', 'Edwards', 'Franta-100K', 'Franta-10K', 'Franta-150K', 'Franta-200K', 'Franta-20C', 'Franta-250K', 'Franta-25C', 'Franta-300K', 'Franta-350K', 'Franta-400K', 'Franta-450K', 'Franta-500K', 'Franta-50K', 'Franta', 'Green-1995', 'Green-2008', 'Jellison', 'Li-100K', 'Li-150K', 'Li-200K', 'Li-250K', 'Li-293K', 'Li-350K', 'Li-400K', 'Li-450K', 'Li-500K', 'Li-550K', 'Li-600K', 'Li-650K', 'Li-700K', 'Li-750K', 'Pierce', 'Salzberg', 'Schinke', 'Shkondin', 'Sik-250C', 'Sik-25C', 'Sik-500C', 'Sik-700C', 'Sik-850C', 'Vuye-100C', 'Vuye-150C', 'Vuye-200C', 'Vuye-20C', 'Vuye-250C', 'Vuye-300C', 'Vuye-350C', 'Vuye-400C', 'Vuye-450C']",4.299202898550725
mp-1180064,O2,1.668092140948953,O,0.0423,Triclinic,7,"['Smith', 'Zhang']",1.0002541288257703
mp-1197903,C,1.030996672490697,C,0.0797,Triclinic,7,"['Arakawa', 'Djurisic-e', 'Djurisic-o', 'Dore', 'El-Sayed', 'Ermolaev-SWCNT-e', 'Ermolaev-SWCNT-o', 'Ermolaev', 'Hagemann', 'Larruquert', 'Peter', 'Phillip', 'Querry-Asbury3222', 'Querry-AsburyMicro260', 'Querry-Dixon1102', 'Querry-Dixon200-10', 'Querry-DixonHPN2', 'Querry-DixonKS2', 'Querry-Pyrolytic', 'Song-Arc', 'Song-cHOPG-e', 'Song-cHOPG-o', 'Song-HiPco', 'Song-sHOPG-e', 'Song-sHOPG-o', 'Song', 'Taylor', 'Tikuisis', 'Weber']",2.274911838790932
mp-1244924,Ti,4.509259680988034,Ti,0.0,Triclinic,7,"['Johnson', 'Mash', 'Ordal', 'Palm', 'Rakic-BB', 'Rakic-LD', 'Werner-DFT', 'Werner', 'Windt']",2.3728
mp-1244913,C,1.6754889834737798,C,0.106,Triclinic,7,"['Arakawa', 'Djurisic-e', 'Djurisic-o', 'Dore', 'El-Sayed', 'Ermolaev-SWCNT-e', 'Ermolaev-SWCNT-o', 'Ermolaev', 'Hagemann', 'Larruquert', 'Peter', 'Phillip', 'Querry-Asbury3222', 'Querry-AsburyMicro260', 'Querry-Dixon1102', 'Querry-Dixon200-10', 'Querry-DixonHPN2', 'Querry-DixonKS2', 'Querry-Pyrolytic', 'Song-Arc', 'Song-cHOPG-e', 'Song-cHOPG-o', 'Song-HiPco', 'Song-sHOPG-e', 'Song-sHOPG-o', 'Song', 'Taylor', 'Tikuisis', 'Weber']",2.274911838790932
mp-1180008,O2,1.59845298088519,O,1.277299999999999,Triclinic,7,"['Smith', 'Zhang']",1.0002541288257703
mp-1244933,Si,2.599954373928591,Si,0.0,Triclinic,7,"['Aspnes', 'Chandler-Horowitz', 'Daub', 'Edwards', 'Franta-100K', 'Franta-10K', 'Franta-150K', 'Franta-200K', 'Franta-20C', 'Franta-250K', 'Franta-25C', 'Franta-300K', 'Franta-350K', 'Franta-400K', 'Franta-450K', 'Franta-500K', 'Franta-50K', 'Franta', 'Green-1995', 'Green-2008', 'Jellison', 'Li-100K', 'Li-150K', 'Li-200K', 'Li-250K', 'Li-293K', 'Li-350K', 'Li-400K', 'Li-450K', 'Li-500K', 'Li-550K', 'Li-600K', 'Li-650K', 'Li-700K', 'Li-750K', 'Pierce', 'Salzberg', 'Schinke', 'Shkondin', 'Sik-250C', 'Sik-25C', 'Sik-500C', 'Sik-700C', 'Sik-850C', 'Vuye-100C', 'Vuye-150C', 'Vuye-200C', 'Vuye-20C', 'Vuye-250C', 'Vuye-300C', 'Vuye-350C', 'Vuye-400C', 'Vuye-450C']",4.299202898550725
mp-1244971,Si,2.427656376577443,Si,0.003099999999999,Triclinic,7,"['Aspnes', 'Chandler-Horowitz', 'Daub', 'Edwards', 'Franta-100K', 'Franta-10K', 'Franta-150K', 'Franta-200K', 'Franta-20C', 'Franta-250K', 'Franta-25C', 'Franta-300K', 'Franta-350K', 'Franta-400K', 'Franta-450K', 'Franta-500K', 'Franta-50K', 'Franta', 'Green-1995', 'Green-2008', 'Jellison', 'Li-100K', 'Li-150K', 'Li-200K', 'Li-250K', 'Li-293K', 'Li-350K', 'Li-400K', 'Li-450K', 'Li-500K', 'Li-550K', 'Li-600K', 'Li-650K', 'Li-700K', 'Li-750K', 'Pierce', 'Salzberg', 'Schinke', 'Shkondin', 'Sik-250C', 'Sik-25C', 'Sik-500C', 'Sik-700C', 'Sik-850C', 'Vuye-100C', 'Vuye-150C', 'Vuye-200C', 'Vuye-20C', 'Vuye-250C', 'Vuye-300C', 'Vuye-350C', 'Vuye-400C', 'Vuye-450C']",4.299202898550725
mp-1244953,Al,2.532974864040623,Al,0.0,Triclinic,7,"['Cheng', 'Hagemann', 'Larruquert', 'Mathewson', 'McPeak', 'Ordal', 'Rakic-BB', 'Rakic-LD', 'Rakic']",0.48023059405940594
mp-1244964,C,1.769792839947614,C,0.0724,Triclinic,7,"['Arakawa', 'Djurisic-e', 'Djurisic-o', 'Dore', 'El-Sayed', 'Ermolaev-SWCNT-e', 'Ermolaev-SWCNT-o', 'Ermolaev', 'Hagemann', 'Larruquert', 'Peter', 'Phillip', 'Querry-Asbury3222', 'Querry-AsburyMicro260', 'Querry-Dixon1102', 'Querry-Dixon200-10', 'Querry-DixonHPN2', 'Querry-DixonKS2', 'Querry-Pyrolytic', 'Song-Arc', 'Song-cHOPG-e', 'Song-cHOPG-o', 'Song-HiPco', 'Song-sHOPG-e', 'Song-sHOPG-o', 'Song', 'Taylor', 'Tikuisis', 'Weber']",2.274911838790932
mp-1244987,Zn,6.7334943798243945,Zn,0.0,Triclinic,7,"['Motulevich', 'Querry', 'Werner-DFT', 'Werner']",13.103000000000002
mp-1245093,Zn,6.725669426370674,Zn,0.0,Triclinic,7,"['Motulevich', 'Querry', 'Werner-DFT', 'Werner']",13.103000000000002
mp-1245006,Ti,4.556796025430404,Ti,0.0,Triclinic,7,"['Johnson', 'Mash', 'Ordal', 'Palm', 'Rakic-BB', 'Rakic-LD', 'Werner-DFT', 'Werner', 'Windt']",2.3728
mp-1244990,Si,2.6634947554856963,Si,0.0,Triclinic,7,"['Aspnes', 'Chandler-Horowitz', 'Daub', 'Edwards', 'Franta-100K', 'Franta-10K', 'Franta-150K', 'Franta-200K', 'Franta-20C', 'Franta-250K', 'Franta-25C', 'Franta-300K', 'Franta-350K', 'Franta-400K', 'Franta-450K', 'Franta-500K', 'Franta-50K', 'Franta', 'Green-1995', 'Green-2008', 'Jellison', 'Li-100K', 'Li-150K', 'Li-200K', 'Li-250K', 'Li-293K', 'Li-350K', 'Li-400K', 'Li-450K', 'Li-500K', 'Li-550K', 'Li-600K', 'Li-650K', 'Li-700K', 'Li-750K', 'Pierce', 'Salzberg', 'Schinke', 'Shkondin', 'Sik-250C', 'Sik-25C', 'Sik-500C', 'Sik-700C', 'Sik-850C', 'Vuye-100C', 'Vuye-150C', 'Vuye-200C', 'Vuye-20C', 'Vuye-250C', 'Vuye-300C', 'Vuye-350C', 'Vuye-400C', 'Vuye-450C']",4.299202898550725
